sample,caffeine_wash1_batch1,caffeine_wash2_batch1,caffeine_wash3_batch1,caffeine_calc_batch1,theophyl_wash1_batch1,theophyl_wash2_batch1,theophyl_wash3_batch1,theophyl_calc_batch1,cotinine_wash1_batch1,cotinine_wash2_batch1,cotinine_wash3_batch1,cotinine_calc_batch1,nicotine_wash1_batch1,nicotine_wash2_batch1,nicotine_wash3_batch1,nicotine_calc_batch1,salicyl_wash1_batch1,salicyl_wash2_batch1,salicyl_wash3_batch1,salicyl_calc_batch1,thca-a_wash1_batch1,thca-a_wash2_batch1,thca-a_wash3_batch1,thca-a_calc_batch1,cbn_wash1_batch1,cbn_wash2_batch1,cbn_wash3_batch1,cbn_calc_batch1,thcva_wash1_batch1,thcva_wash2_batch1,thcva_wash3_batch1,thcva_calc_batch1,thc_wash1_batch1,thc_wash2_batch1,thc_wash3_batch1,thc_calc_batch1,cbd_wash1_batch1,cbd_wash2_batch1,cbd_wash3_batch1,cbd_calc_batch1,cocaine_wash1_batch1,cocaine_wash2_batch1,cocaine_wash3_batch1,cocaine_calc_batch1,batch1_weight,caffeine_wash1_batch2,caffeine_wash2_batch2,caffeine_wash3_batch2,caffeine_calc_batch2,theophyl_wash1_batch2,theophyl_wash2_batch2,theophyl_wash3_batch2,theophyl_calc_batch2,cotinine_wash1_batch2,cotinine_wash2_batch2,cotinine_wash3_batch2,cotinine_calc_batch2,nicotine_wash1_batch2,nicotine_wash2_batch2,nicotine_wash3_batch2,nicotine_calc_batch2,salicyl_wash1_batch2,salicyl_wash2_batch2,salicyl_wash3_batch2,salicyl_calc_batch2,thca-a_wash1_batch2,thca-a_wash2_batch2,thca-a_wash3_batch2,thca-a_calc_batch2,cbn_wash1_batch2,cbn_wash2_batch2,cbn_wash3_batch2,cbn_calc_batch2,thcva_wash1_batch2,thcva_wash2_batch2,thcva_wash3_batch2,thcva_calc_batch2,thc_wash1_batch2,thc_wash2_batch2,thc_wash3_batch2,thc_calc_batch2,cbd_wash1_batch2,cbd_wash2_batch2,cbd_wash3_batch2,cbd_calc_batch2,cocaine_wash1_batch2,cocaine_wash2_batch2,cocaine_wash3_batch2,cocaine_calc_batch2,batch2_weight
11,0.4092,0.3992,0.14355,0.18015,0.03395,0.0255,0.01185,0.0299,0,0,0,0.1806,0,0,0,0.4528,0.6755,0,0,35.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.1729,0.1081,0.07305,0.10145,0,0,0,0,0,0,0,0,0,0,0,0.1091,0,0,0,19.6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.0546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05000000000011,0.1208,0.0721,0.0188,0.0813,0.0048,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4285,0,27.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.675
14,0.5287,0.2067,0.10475,0.15205,0.02925,0.0162,0,0.0294,0,0,0,0.2821,0,0,0,1.4296,0,0,0,17.6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.975,0.3644,0.6742,0.0894,0.2828,0.0369,0.0436,0.0061,0.0125,0.0218,0,0.0103,0.5069,0,0,0,2.28,FALSE,0.5311,0.2453,10.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.80000000000001
15,0.5503,0.393,0.14695,0.10825,0.04015,0.0212,0,0.0137,0,0,0,0,0,0,0,0,0,0,0,6.3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,10.525,0.1126,0.3629,0.0747,0.1242,0.0075,0.0147,0,0.0058,0,0,0,0,0,0,0,0,FALSE,0,0,3.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.80000000000001
16,0.1055,0.0793,0,0.66915,0,0,0,0.0354,0,0,0,0.102,0,0,0,0.4526,0,0,0,19.9776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.0897,0,0,0,0,0,0,0,0.0722,0,0,0.5718,0,0,0,2.7684,0.6287,0,0,12.4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0.042,0.0659,0.025,0.1277,0.006,0.0047,0,0.0135,0.0659,0.2236,0.0548,2.44,0.0124,0,0.0162,10.76,FALSE,0.1337,0,5.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.55
18,3.6907,1.2596,0.39565,0.26975,0.06645,0.0205,0,0.024,0,0,0,0,0,0,0,0,0,0,0,44.2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.0936,0.0634,0.06095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74185,0,0,0,16.4925,0,0,0,1.39,0,0,0,0.0726,0,0,0,1.24185,0,0,0,0,0,0,0,0,2.87500000000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.0763,0,0,0.0638,0,0,0,0,0,0,0,0.079,0,0,0,0,0.8829,0,0,7.89155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1000000000001,0.0376,0.0244,0.0219,0.0487,0,0,0,0,0,0,0,0.0796,0,0,0,0,FALSE,0.2451,0.3766,6.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.49999999999999
