sample,weight,weight_wash1,weight_wash2,weight_wash3,weight_avg,caffeine_wash1,caffeine_wash2,caffeine_wash3,caffeine_calc,theophylline_wash1,theophylline_wash2,theophylline_wash3,theophylline_calc,cotinine_wash1,cotinine_wash2,cotinine_wash3,cotinine_calc,nicotine_wash1,nicotine_wash2,nicotine_wash3,nicotine_calc,salicyl_wash1,salicyl_wash2,salicyl_wash3,salicyl_calc,thca-a_wash1,thca-a_wash2,thca-a_wash3,thca-a_calc,cbn_wash1,cbn_wash2,cbn_wash3,cbn_calc,thcva_wash1,thcva_wash2,thcva_wash3,thcva_calc,thc_wash1,thc_wash2,thc_wash3,thc_calc,cbd_wash1,cbd_wash2,cbd_wash3,cbd_calc,cocaine_wash1,cocaine_wash2,cocaine_wash3,cocaine_calc
27,5.40000000000007,5.4,5.4,5.6,5.45000000000002,0.1973,0.2389,0.0657,0.1105,0.0165,0.0134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2041,NA,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,9.2000000000001,9.3,9.4,9.2,9.27500000000003,0.0276,NA,NA,0.0492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3232,NA,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7.10000000000011,7,6.8,7,6.97500000000003,0.206,0.1082,0.0315,0.1334,0.0132,0.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5156,NA,13.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,6.29999999999997,6.4,6.4,6.4,6.37499999999999,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2908,0.1506,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,16.1,16.1,16,16.2,16.1,0.6542,0.513,0.1037,0.2445,0.04,0.0244,NA,0.0117,0.0109,NA,NA,NA,NA,NA,NA,NA,NA,1.0788,NA,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,27.7000000000001,27.8,27.9,27.8,27.8,1.7021,0.8386,0.2966,0.8344,0.0195,0.0074,NA,0.0091,0.1088,0.1335,0.0296,1.15,0.0803,0.028,0.0239,6.55,NA,0.4745,NA,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,4,4,4.1,4.1,4.05,0.1344,0.1132,0.0293,0.0456,0.0107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,8.19999999999999,8.3,8.5,8.3,8.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0609,NA,NA,NA,0.188,NA,0.5157,NA,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,14.5,14.5,14.6,14.5,14.525,0.2136,0.049,0.0311,0.0809,0.0137,NA,NA,NA,0.0198,NA,NA,0.0633,0.008,NA,NA,0.089,NA,0.091,0.1725,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,7.60000000000005,7.5,7.5,7.4,7.50000000000001,1.3555,0.7953,0.1415,0.3477,0.0084,NA,NA,NA,0.0137,NA,NA,0.0419,0.0212,NA,NA,0.1502,NA,0.2577,NA,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1.1000000000001,1.1,1,1.1,1.07500000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,9.50000000000006,9.6,9.7,9.4,9.55000000000002,0.4253,0.4459,0.0566,0.1245,0.0149,0.0204,NA,NA,0.0304,NA,NA,0.3142,NA,NA,NA,1.53,NA,0.5002,NA,10.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,14.3,14.2,14.1,14.1,14.175,0.0331,NA,NA,0.0738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
